"","mantelr","pval1","pval2","pval3","lower","upper","domain","comparison","p.adjusted"
"lingVCult",0.252607968217511,0.14328,0.85673,0.26737,0.106835225928162,0.389941990384196,"Food and drink","lingVCult",1
"lingVHist",0.172654893223812,0.17438,0.82563,0.34884,0.00539696853365292,0.302416843328935,"Food and drink","lingVHist",1
"lingVGeo",0.109899983448626,0.2741,0.72591,0.55709,-0.0645887183635561,0.281956160463582,"Food and drink","lingVGeo",1
"lingVCult1",0.327527286367691,0.08447,0.91554,0.14038,0.212431593102014,0.453283024366562,"Possession","lingVCult",1
"lingVHist1",0.212615137900007,0.12727,0.87274,0.24658,-0.0771432143005904,0.399204305841325,"Possession","lingVHist",1
"lingVGeo1",0.0614390439112711,0.37725,0.62276,0.74153,-0.143111697433568,0.274352484072383,"Possession","lingVGeo",1
"lingVCult2",0.323375934348244,0.09979,0.90022,0.16552,0.168183433837808,0.480020216750296,"The physical world","lingVCult",1
"lingVHist2",0.205967563229646,0.14394,0.85607,0.28058,0.0141053481851626,0.387441865340234,"The physical world","lingVHist",1
"lingVGeo2",0.0419246415179806,0.41208,0.58793,0.83133,-0.149727592994256,0.211706971326687,"The physical world","lingVGeo",1
"lingVCult3",0.0445427936666506,0.39122,0.60879,0.84195,-0.110431685912293,0.17616906401128,"Miscellaneous function words","lingVCult",1
"lingVHist3",0.26992930202432,0.09043,0.90958,0.15959,0.0605916940792634,0.412593236852099,"Miscellaneous function words","lingVHist",1
"lingVGeo3",0.137944451820107,0.24192,0.75809,0.48018,-0.0556190429917392,0.266984526683573,"Miscellaneous function words","lingVGeo",1
"lingVCult4",0.275969647675313,0.1242,0.87581,0.22909,0.162871173224898,0.414278777790959,"Basic actions and technology","lingVCult",1
"lingVHist4",0.207809248122926,0.13357,0.86644,0.26018,0.00500538632197874,0.339674782639318,"Basic actions and technology","lingVHist",1
"lingVGeo4",0.0855245351325044,0.32815,0.67186,0.65177,-0.144137927717447,0.263732881445906,"Basic actions and technology","lingVGeo",1
"lingVCult5",0.3735629402284,0.03545,0.96456,0.05653,0.215333461972546,0.505390191978818,"Modern world","lingVCult",1
"lingVHist5",-0.00797408373848013,0.511,0.48901,0.96292,-0.171516015926408,0.101500707586582,"Modern world","lingVHist",1
"lingVGeo5",0.115260390726198,0.25145,0.74856,0.50288,-0.0688023859684672,0.276762401014266,"Modern world","lingVGeo",1
"lingVCult6",0.357892105634598,0.05517,0.94484,0.09154,0.219360308562238,0.501302433972996,"The house","lingVCult",1
"lingVHist6",0.065650222645674,0.34824,0.65177,0.71924,-0.128256144230157,0.23916780501242,"The house","lingVHist",1
"lingVGeo6",0.0392690347250895,0.40574,0.59427,0.82949,-0.164178540067506,0.222963427992465,"The house","lingVGeo",1
"lingVCult7",0.138830761852045,0.24567,0.75434,0.56804,0.0186994128792107,0.241569443738006,"Quantity","lingVCult",1
"lingVHist7",0.272291827566715,0.13619,0.86382,0.19479,-0.00742212946482149,0.378095761789264,"Quantity","lingVHist",1
"lingVGeo7",0.124366172471876,0.27602,0.72399,0.51545,-0.0745978692967738,0.236897696413111,"Quantity","lingVGeo",1
"lingVCult8",0.318393770197627,0.08438,0.91563,0.15152,0.181411039242752,0.507887932386127,"Animals","lingVCult",1
"lingVHist8",0.10003744307236,0.28271,0.7173,0.58611,-0.136683128326536,0.308655054890222,"Animals","lingVHist",1
"lingVGeo8",0.0698511010988184,0.34083,0.65918,0.70915,-0.108894288577092,0.299906466617627,"Animals","lingVGeo",1
"lingVCult9",0.283724018320109,0.12933,0.87068,0.22911,0.0682218655099109,0.467806008335547,"The body","lingVCult",1
"lingVHist9",0.225904087222928,0.12551,0.8745,0.23349,0.0304010419240846,0.378975115172369,"The body","lingVHist",1
"lingVGeo9",0.0650376939307471,0.36643,0.63358,0.73787,-0.0764167621824992,0.291486413813919,"The body","lingVGeo",1
"lingVCult10",0.331801748521785,0.10101,0.899,0.15183,0.195372673438469,0.4874122775291,"Emotions and values","lingVCult",1
"lingVHist10",0.333502653950779,0.04782,0.95219,0.0707,0.150714358978767,0.473404456313283,"Emotions and values","lingVHist",1
"lingVGeo10",0.107435246684304,0.29038,0.70963,0.57896,-0.0893174799131886,0.28941059087793,"Emotions and values","lingVGeo",1
"lingVCult11",0.0658228099167336,0.33211,0.6679,0.77595,-0.0480312907998923,0.187820823874782,"Cognition","lingVCult",1
"lingVHist11",0.337317354865586,0.0468,0.95321,0.06487,0.156320147123275,0.467150983888313,"Cognition","lingVHist",1
"lingVGeo11",0.102590844026799,0.29394,0.70607,0.57981,-0.0982382960861438,0.223199721708081,"Cognition","lingVGeo",1
