"Concepticon.Domain","EA.VarID","EA.IndexCategory","EA.VarTitle"
"Agriculture and vegetation",29,"Subsistence, Ecology","Agriculture: major crop type"
"Agriculture and vegetation",40,"Subsistence, Ecology","Domestic animals: type"
"Agriculture and vegetation",1,"Subsistence, Economy","Subsistence economy: gathering"
"Agriculture and vegetation",2,"Subsistence, Economy","Subsistence economy: hunting"
"Agriculture and vegetation",3,"Subsistence, Economy","Subsistence economy: fishing"
"Agriculture and vegetation",4,"Subsistence, Economy","Subsistence economy: animal husbandry"
"Agriculture and vegetation",5,"Subsistence, Economy","Subsistence economy: agriculture"
"Agriculture and vegetation",28,"Subsistence, Economy","Agriculture: intensity"
"Agriculture and vegetation",39,"Subsistence, Economy","Domestic animals: plow cultivation"
"Agriculture and vegetation",41,"Subsistence, Economy","Domestic animals: milking"
"Agriculture and vegetation",42,"Subsistence, Economy","Subsistence economy: dominant activity"
"Basic actions and technology",55,"Labour, Economy","Age or occupational specialization: metal working"
"Basic actions and technology",56,"Labour, Economy","Age or occupational specialization: weaving"
"Basic actions and technology",57,"Labour, Economy","Age or occupational specialization: leather working"
"Basic actions and technology",58,"Labour, Economy","Age or occupational specialization: pottery making"
"Basic actions and technology",59,"Labour, Economy","Age or occupational specialization: boat building"
"Basic actions and technology",60,"Labour, Economy","Age or occupational specialization: house construction"
"Basic actions and technology",61,"Labour, Economy","Age or occupational specialization: gathering"
"Basic actions and technology",62,"Labour, Economy","Age or occupational specialization: hunting"
"Basic actions and technology",63,"Labour, Economy","Age or occupational specialization: fishing"
"Basic actions and technology",64,"Labour, Economy","Age or occupational specialization: animal husbandry"
"Basic actions and technology",65,"Labour, Economy","Age or occupational specialization: agriculture"
"Basic actions and technology",44,"Labour, Gender, Economy","Sex differences: metal working"
"Basic actions and technology",45,"Labour, Gender, Economy","Sex differences: weaving"
"Basic actions and technology",46,"Labour, Gender, Economy","Sex differences: leather working"
"Basic actions and technology",47,"Labour, Gender, Economy","Sex differences: pottery making"
"Basic actions and technology",48,"Labour, Gender, Economy","Sex differences: boat building"
"Basic actions and technology",49,"Labour, Gender, Economy","Sex differences: house construction"
"Basic actions and technology",50,"Labour, Gender, Economy","Sex differences: gathering"
"Basic actions and technology",51,"Labour, Gender, Economy","Sex differences: hunting"
"Basic actions and technology",52,"Labour, Gender, Economy","Sex Differences: fishing"
"Basic actions and technology",53,"Labour, Gender, Economy","Sex differences: animal husbandry"
"Basic actions and technology",54,"Labour, Gender, Economy","Sex differences: agriculture"
