l1,l2,IDS_SEMANTICFIELD_l1,local_alignment,comparison_count
av,lbe,Modern world,-0.26373459223385937,1
mhr,ta,The house,-0.2557375060815527,1
no,ab,Agriculture and vegetation,-0.2333097965331908,1
se,he,Food and drink,-0.2306118927768643,2
ab,zh,Agriculture and vegetation,-0.2057459722238905,1
kn,lbe,Clothing and grooming,-0.20061072415864856,1
mdf,sah,Clothing and grooming,-0.1899323700632427,1
fr,lbe,Clothing and grooming,-0.1736163797014066,1
mdf,ce,Clothing and grooming,-0.17344853453010506,1
ku,os,Clothing and grooming,-0.17296424150811807,1
mhr,az,The house,-0.16778851201530687,1
mdf,ba,Clothing and grooming,-0.16686265858685856,1
en,lbe,Clothing and grooming,-0.16037403921161195,1
es,lbe,Clothing and grooming,-0.15911319289222908,1
mhr,ml,Motion,-0.15910147797146434,1
mhr,da,The house,-0.1585955212585948,1
it,lbe,The house,-0.15832617944124053,3
hy,ab,The house,-0.15791921015368188,1
mrj,lbe,Possession,-0.1573458438513158,2
hy,lbe,Clothing and grooming,-0.15002950320632755,1
mdf,ga,Modern world,-0.14885910285532777,2
mhr,sk,Possession,-0.14711158355410442,1
sv,lbe,Clothing and grooming,-0.14351246850993113,1
mhr,uk,Possession,-0.1395664865605653,1
mdf,lt,Clothing and grooming,-0.1383343025070218,2
be,ab,The house,-0.1382337114473553,1
de,sah,Agriculture and vegetation,-0.1382129903901854,1
myv,cv,Motion,-0.13576497471283464,2
mdf,tr,Modern world,-0.13488944979066358,2
mhr,cs,Possession,-0.13091422896291918,1
mhr,it,The house,-0.12996470330451493,1
mhr,ku,Possession,-0.12791688516691674,1
cs,lbe,Clothing and grooming,-0.12772043836612607,1
is,lbe,Clothing and grooming,-0.12424041942153022,1
mhr,ru,Possession,-0.12408707559865052,1
mdf,ml,Clothing and grooming,-0.12339632824175154,2
da,lbe,Clothing and grooming,-0.122553653819982,1
mdf,ro,Clothing and grooming,-0.1199009608638439,2
mhr,de,Emotions and values,-0.11916823779663685,1
mhr,ro,Possession,-0.1167825848749874,1
no,lbe,Clothing and grooming,-0.11656727236385415,1
udm,xal,Clothing and grooming,-0.11544380029889996,3
mdf,ca,Clothing and grooming,-0.11543596642944615,1
uz,xal,The house,-0.11446586775723233,3
kv,os,The house,-0.11280954472927958,1
mdf,kk,Modern world,-0.11034608938636062,2
en,ab,The house,-0.10988929403019253,1
mdf,ar,Clothing and grooming,-0.10963344984880341,2
mdf,kn,Modern world,-0.1069660756357424,2
hu,ab,The house,-0.1065250040221424,1
mhr,kk,Miscellaneous function words,-0.10550798473149345,5
os,ko,Clothing and grooming,-0.10491842197592763,4
ta,av,Clothing and grooming,-0.10382740978038282,2
lbe,zh,Cognition,-0.10227761666884484,6
mhr,en,The house,-0.10223484047751637,1
mdf,cs,Clothing and grooming,-0.10121344420578804,2
sah,lbe,The house,-0.10101370609552557,2
de,cv,Social and political relations,-0.10074272286206523,1
mdf,cv,Modern world,-0.10003823227597095,2
vep,lbe,Emotions and values,-0.09919251337726406,1
it,lbe,Clothing and grooming,-0.0991551328656942,1
kk,lbe,Clothing and grooming,-0.09892124189819552,1
uk,lbe,Clothing and grooming,-0.09825220248805434,1
de,ce,Agriculture and vegetation,-0.097844683957262,1
mdf,lez,Clothing and grooming,-0.0975031239580033,1
sah,av,Agriculture and vegetation,-0.09744626462455654,4
no,lbe,Possession,-0.0963548063250724,1
ku,lez,The house,-0.09634370271695182,3
os,ce,Clothing and grooming,-0.09489749494680587,4
xal,lez,Agriculture and vegetation,-0.0947085881878636,2
kn,ab,The house,-0.09464024804444164,1
mdf,es,Modern world,-0.09371109025363807,2
uz,av,Motion,-0.09365747957091712,1
ca,xal,Agriculture and vegetation,-0.09327209066274277,3
nl,lbe,Clothing and grooming,-0.09256471234457987,1
mdf,fr,Modern world,-0.09234724837960373,2
xal,ko,Motion,-0.09215192615215233,3
lbe,ar,Clothing and grooming,-0.09158004476245576,1
mhr,ta,Possession,-0.09145048407719122,1
lbe,zh,The house,-0.09079843998674082,3
mdf,sq,Clothing and grooming,-0.09065153579900972,2
mdf,ca,Modern world,-0.08973930581189905,2
mdf,ru,Clothing and grooming,-0.08968723282342421,2
