l1,l2,IDS_SEMANTICFIELD_l1,local_alignment
ab,ar,Agriculture and vegetation,0.1000960612478259
ab,ar,Animals,0.03756673438907258
ab,ar,Basic actions and technology,0.09091998874019874
ab,ar,Cognition,0.06076890799707076
ab,ar,Emotions and values,-0.013973874371614452
ab,ar,Kinship,0.06844529591392322
ab,ar,Miscellaneous function words,0.13359701827207363
ab,ar,Modern world,0.05101790660779377
ab,ar,Motion,0.132598037449874
ab,ar,Possession,0.15681626506224017
ab,ar,Quantity,0.15418362296243288
ab,ar,Sense perception,0.13031826137829158
ab,ar,Social and political relations,0.07525215088892732
ab,ar,Spatial relations,0.020556656261602833
ab,ar,Speech and language,0.07886075264357319
ab,ar,The body,0.09350574054897211
ab,ar,The house,0.03380581902590726
ab,ar,The physical world,0.06320846410571308
ab,ar,Time,0.10801790858942555
ab,ce,Agriculture and vegetation,-0.041719304443130656
ab,ce,Animals,0.05216733212333851
ab,ce,Basic actions and technology,0.13614984813966402
ab,ce,Cognition,-0.00024776883250538645
ab,ce,Emotions and values,0.16690855985094047
ab,ce,Kinship,-0.003788679813872845
ab,ce,Miscellaneous function words,0.05177125745798743
ab,ce,Modern world,0.10222367125798322
ab,ce,Motion,0.1765860781955678
ab,ce,Possession,0.06426555222369458
ab,ce,Quantity,0.11708470106717006
ab,ce,Sense perception,0.07374338992745125
ab,ce,Social and political relations,0.045814087319639006
ab,ce,Spatial relations,0.0790948294788317
ab,ce,Speech and language,0.11542240817224876
ab,ce,The body,0.06757636221181741
ab,ce,The house,0.07770116269483347
ab,ce,The physical world,0.04178401466903766
ab,ce,Time,-0.0729392369538166
ab,he,Agriculture and vegetation,0.012807757621192965
ab,he,Animals,0.008325077067927886
ab,he,Basic actions and technology,0.04955671219567386
ab,he,Cognition,0.14173728634109156
ab,he,Emotions and values,0.06040936753831395
ab,he,Kinship,0.009724974834395732
ab,he,Miscellaneous function words,0.15981019886348424
ab,he,Modern world,0.07886828341825511
ab,he,Motion,0.1539052076048543
ab,he,Possession,0.05619869647301589
ab,he,Quantity,0.15326492201501665
ab,he,Sense perception,0.016097248564798355
ab,he,Social and political relations,0.04218019121098907
ab,he,Spatial relations,0.021946322842320003
ab,he,Speech and language,0.028189664704095296
ab,he,The body,0.058109919489628244
ab,he,The house,0.06643386468395854
ab,he,The physical world,0.07741289107750726
ab,he,Time,0.07884007332698918
ab,lez,Agriculture and vegetation,0.28265704523782786
ab,lez,Animals,0.21016173773838667
ab,lez,Basic actions and technology,0.2543648744172641
ab,lez,Cognition,0.10277805840066406
ab,lez,Emotions and values,0.12734159243731433
ab,lez,Kinship,0.0484751300500085
ab,lez,Miscellaneous function words,0.1567783771110628
ab,lez,Modern world,0.01578613340184114
ab,lez,Motion,0.18526385971433926
ab,lez,Possession,0.26574878561724713
ab,lez,Quantity,0.12170692376914888
ab,lez,Social and political relations,0.07821835256505578
ab,lez,Spatial relations,0.055137465428267265
ab,lez,Speech and language,0.13094166694296605
ab,lez,The body,0.08619103779081624
ab,lez,The physical world,0.12897511556741498
ab,lez,Time,0.06786351739699696
ab,zh,Agriculture and vegetation,-0.2057459722238905
ab,zh,Animals,0.09272244176502883
ab,zh,Basic actions and technology,0.014422943331321747
ab,zh,Cognition,0.030977081625534815
ab,zh,Emotions and values,-0.017640942949040547
ab,zh,Kinship,0.0896638620993985
ab,zh,Miscellaneous function words,0.024738576923996204
ab,zh,Modern world,-0.03955835049953776
ab,zh,Motion,0.015700054657686376
ab,zh,Possession,0.013694422827100788
