l1,l2,IDS_SEMANTICFIELD_l1,local_alignment,comparison_count
de,he,Animals,-0.06029667063454454,1
de,ar,Animals,-0.05205962850860117,1
de,ko,Agriculture and vegetation,-0.04352618913783531,1
de,ta,Clothing and grooming,-0.042009445638462116,1
de,az,Agriculture and vegetation,-0.005337539264147082,1
de,ka,Agriculture and vegetation,-0.002448759143223872,2
de,en,The house,0.024962494631634264,1
fa,de,Agriculture and vegetation,0.027744685891249773,2
de,kk,Agriculture and vegetation,0.02819060903818536,2
hr,de,Agriculture and vegetation,0.028449966096424115,2
hi,sl,Food and drink,0.0331449823955914,1
de,zh,Agriculture and vegetation,0.03574704094920217,2
hi,sl,Cognition,0.0367801914288124,3
be,de,Agriculture and vegetation,0.040105140758511064,2
ta,zh,Motion,0.052473931453535926,36
uz,ta,Motion,0.053084117399758234,4
ja,ta,Motion,0.05696537442331754,31
de,eu,Agriculture and vegetation,0.060262332546202675,1
de,es,Agriculture and vegetation,0.06067423600372446,2
sk,de,Agriculture and vegetation,0.06098409413218109,1
fi,de,Agriculture and vegetation,0.06240168816430197,2
hi,sl,Emotions and values,0.06309648452030618,1
hi,sl,Motion,0.06327421499169326,1
bg,de,Animals,0.06594449999896744,2
ta,zh,Possession,0.06647544860917892,16
uz,ja,Modern world,0.06660045965003779,21
uz,he,Speech and language,0.06713529890031895,10
de,kk,Modern world,0.071208807316281,1
sv,de,Agriculture and vegetation,0.07165689568690313,3
ja,ta,Basic actions and technology,0.07278140623831074,75
de,kk,Animals,0.0740344520480915,2
hr,de,Animals,0.07404580567633229,2
de,tr,Agriculture and vegetation,0.07509102286554957,2
ta,zh,Basic actions and technology,0.07516495966385404,78
hi,de,The house,0.07796718775476777,1
ko,ta,Motion,0.07801379681209179,24
de,ca,Agriculture and vegetation,0.07842536350159462,2
ko,zh,The house,0.07922953237843954,14
hi,sl,Kinship,0.08023963634996169,2
pl,de,Clothing and grooming,0.08371603646535482,3
be,ja,The house,0.08475090127207015,23
de,ka,Clothing and grooming,0.08499702973018998,1
hu,de,Agriculture and vegetation,0.08557445655617332,2
ta,eu,Motion,0.0872061092029656,29
ko,ja,Possession,0.08734357948032197,15
uz,zh,Miscellaneous function words,0.08840174229117681,6
uz,ja,Spatial relations,0.08845411135601375,34
ja,ar,The house,0.09020838029728175,24
az,ja,The house,0.09066253558880982,22
de,en,Agriculture and vegetation,0.09118298109908993,2
uz,ja,Social and political relations,0.09154115057722981,15
ar,zh,The house,0.09249089412680962,22
uz,ja,Clothing and grooming,0.09252410843864935,16
uz,ko,Food and drink,0.09273795561551693,17
el,de,The house,0.09320160283867283,2
de,en,Animals,0.0941165695410762,2
ta,zh,Emotions and values,0.09540743544356096,36
hy,ta,Clothing and grooming,0.09566264026953926,15
ja,ka,Clothing and grooming,0.09609519048335864,24
ja,ka,Modern world,0.09692083521206714,25
he,zh,Agriculture and vegetation,0.09885072179655618,19
uz,zh,Spatial relations,0.09932080432995503,45
bg,zh,The house,0.09968288538970009,22
hi,sl,Basic actions and technology,0.09977451621253837,6
ja,he,Basic actions and technology,0.10010237135608156,118
bg,ja,The house,0.10021877497005187,24
ko,ka,Modern world,0.10061566268714767,22
ta,he,Speech and language,0.10126412648784482,17
uz,zh,Speech and language,0.10136012488018573,10
uz,ja,Speech and language,0.10214756806070888,10
bg,de,Clothing and grooming,0.10237284147828776,2
hy,ja,The house,0.1027850982555015,21
de,uz,Food and drink,0.10295332692283429,4
ko,ja,Basic actions and technology,0.103267666079108,73
de,he,Social and political relations,0.10453242342656918,9
ja,he,The house,0.10465884690547134,21
de,zh,The house,0.10489702405433217,1
fi,uz,Agriculture and vegetation,0.1053350571258832,17
he,zh,The house,0.10543042363351895,19
uz,ta,Speech and language,0.10561951508917088,9
no,de,Agriculture and vegetation,0.10564431116563511,2
el,ja,The house,0.10678049641899472,24
ta,zh,Modern world,0.10713572514808715,19
uz,ja,Motion,0.10723295045424334,4
ja,ar,Basic actions and technology,0.10724376964842994,120
sk,de,Clothing and grooming,0.10754499334286538,4
ja,ta,Modern world,0.1077111547373374,18
ko,ja,The house,0.10818083671048816,16
ja,ta,Possession,0.10875029369591423,15
uz,ja,The physical world,0.10940354132691621,39
ja,ka,Basic actions and technology,0.1098346625411867,83
de,ko,Animals,0.10987219184607187,1
et,zh,The house,0.110215940730591,19
uz,zh,Modern world,0.11050464378799336,21
uz,ko,Modern world,0.11085650656593678,19
lt,de,Animals,0.11089086935997317,2
ko,ta,Basic actions and technology,0.11099968273793706,55
he,zh,Basic actions and technology,0.11114002738511629,126
et,de,Clothing and grooming,0.11147158450662577,1
no,ja,The house,0.11216888908856439,24
ta,zh,Miscellaneous function words,0.1121824176418314,11
ja,zh,Basic actions and technology,0.11219181406768627,103
ja,ar,Agriculture and vegetation,0.112328461866969,22
az,ta,Motion,0.11241733454287788,29
uz,he,Social and political relations,0.11248493868444745,16
ja,zh,Motion,0.1130957330413381,58
de,ro,Animals,0.11350436323895388,2
ta,ka,Clothing and grooming,0.11360434313581634,18
ko,ar,The house,0.11380016972154461,17
az,he,Agriculture and vegetation,0.11400963984066634,20
