l1,l2,IDS_SEMANTICFIELD_l1,local_alignment,comparison_count
mhr,da,Possession,-0.3047644741287792,1
mhr,cs,Possession,-0.21999594889969387,1
mhr,kn,Agriculture and vegetation,-0.18484045777128774,3
mhr,sah,Possession,-0.1604517464394611,1
mhr,mn,Possession,-0.15226619173941072,1
mhr,cv,Possession,-0.1497138500181888,1
mhr,bn,Possession,-0.1409999805087739,1
mhr,te,Possession,-0.1111682300668284,1
mhr,zh,The house,-0.10005545529447707,1
mrj,mhr,Motion,-0.09992346137876293,1
mhr,he,Possession,-0.09961259074892716,1
mhr,ml,Possession,-0.09791780118736228,1
mhr,ka,Possession,-0.0939707864128752,1
mhr,myv,Possession,-0.0892500112676979,1
de,sah,Agriculture and vegetation,-0.08506173258035384,1
mhr,pl,Possession,-0.07731433077910696,1
sl,te,Possession,-0.07720428713618861,3
mhr,sk,Possession,-0.07636240804867027,1
mhr,te,Agriculture and vegetation,-0.07538469236291363,3
mhr,uz,Miscellaneous function words,-0.07151797927301787,2
ku,sl,Clothing and grooming,-0.0709006358552327,4
mhr,hy,Possession,-0.06817880396624666,1
hr,sl,The house,-0.06717148399974741,7
mhr,br,Agriculture and vegetation,-0.06638717641576673,3
mhr,kn,Possession,-0.06392640520119393,1
mhr,br,Possession,-0.061800495450655225,1
mhr,lv,Possession,-0.06073881965276956,1
mhr,ta,Possession,-0.059702324322158815,1
mhr,tr,Possession,-0.05371422876458004,1
mhr,is,Possession,-0.05335471937793428,1
lv,sl,Possession,-0.05226315361257282,5
mhr,pt,Possession,-0.05130802375130608,1
mhr,bn,The house,-0.05108999377796992,1
mhr,ba,Possession,-0.0488195339214751,1
mrj,de,Animals,-0.04564653031767405,1
sl,cv,Clothing and grooming,-0.04543556410354721,4
mhr,ar,Possession,-0.04527761751794593,1
sl,is,Possession,-0.0452716964518486,4
sl,ga,Clothing and grooming,-0.04495152959015912,5
mhr,tt,Miscellaneous function words,-0.04376214902335596,4
sl,cv,Animals,-0.039696508038928324,9
myv,br,The house,-0.03939383128160789,11
sl,ka,Possession,-0.03808539658346674,4
mhr,ku,Clothing and grooming,-0.03365415442595858,1
mhr,kn,Motion,-0.03088048015099187,1
mhr,zh,Miscellaneous function words,-0.029126943920608092,4
mhr,bn,Motion,-0.026808843359292282,1
ps,sl,Clothing and grooming,-0.02422322800726247,6
ku,sah,Clothing and grooming,-0.02204269719226135,13
mhr,myv,Motion,-0.021825655435788068,1
mhr,myv,The house,-0.021608188138707768,1
mhr,cy,Miscellaneous function words,-0.0212495286659257,5
sl,is,Clothing and grooming,-0.021137156378573736,6
mhr,br,Sense perception,-0.020332129814435655,4
mhr,br,Speech and language,-0.018888617588027685,5
mhr,ml,Motion,-0.018544186179352305,1
sl,en,Possession,-0.01606139860159369,4
ku,ga,Clothing and grooming,-0.016058727310557967,11
mhr,no,Possession,-0.015943444771165837,1
mhr,uz,Possession,-0.01584041675890504,1
sl,te,Motion,-0.01516064127604646,5
sl,uk,Clothing and grooming,-0.014161734841482468,6
ga,la,Miscellaneous function words,-0.013862091218175335,16
mhr,myv,Speech and language,-0.013355520341946706,4
uz,cv,Motion,-0.013299084584994972,23
mrj,myv,Clothing and grooming,-0.013149968491360964,13
mhr,myv,Modern world,-0.012987728057650971,2
cv,ce,Speech and language,-0.012272012952820743,12
ku,sl,Possession,-0.011630743199206914,4
mhr,te,Miscellaneous function words,-0.011336488759208785,3
mhr,he,Speech and language,-0.010527715012252447,5
mhr,ja,Possession,-0.010088309378216902,1
mhr,ca,Possession,-0.010029970724100834,1
myv,cv,Modern world,-0.008574132906898624,15
sl,br,Basic actions and technology,-0.008364203696811269,16
sl,en,Clothing and grooming,-0.008107035530316511,6
mrj,ce,Miscellaneous function words,-0.007545572176275866,16
mhr,uz,The house,-0.007317178410740879,1
sl,cv,Speech and language,-0.00698516704304216,9
mrj,ce,Kinship,-0.006247222407560862,19
mhr,te,Speech and language,-0.005614129995010091,4
sl,cy,Possession,-0.005087967720891429,4
mhr,uz,Animals,-0.004521558494017561,4
mhr,bg,Agriculture and vegetation,-0.004156711803988591,4
sl,br,Clothing and grooming,-0.0032161437996923864,6
ku,br,Clothing and grooming,-0.003078250752223287,12
ga,br,Miscellaneous function words,-0.0017510941254899363,15
mhr,pl,Miscellaneous function words,-0.0011313276107394118,4
mhr,he,Motion,-0.0011034546196877007,2
bn,sl,Possession,-0.0006379647962407425,3
la,cv,The house,-4.663639070643312e-05,17
mhr,pt,Miscellaneous function words,-3.598960651097355e-05,4
sl,br,Possession,0.0001566083679046355,4
mhr,ce,Possession,0.00019096950380767788,1
mhr,ro,The house,0.0003022573265758569,1
sl,ce,Possession,0.00035654409503096257,2
mhr,br,Spatial relations,0.0004647184275070153,8
mhr,is,Miscellaneous function words,0.0006151602155644795,4
mhr,cv,Cognition,0.0007060078126049473,10
mhr,ta,The house,0.0008048139840601543,1
mrj,cv,The house,0.0013824805095893683,9
cy,ce,The house,0.0018642774879591812,13
sl,ga,Motion,0.0026046658898593693,8
mrj,os,The house,0.0029489099729091087,8
lv,cv,Motion,0.0033240017743341524,8
uz,ce,The house,0.004203405988223767,10
sl,az,Possession,0.0042065447811169155,4
sl,en,The house,0.004381264797570771,7
ku,ja,Clothing and grooming,0.004635198319673521,13
lv,sl,Motion,0.004828790584465049,4
de,sah,Clothing and grooming,0.005591870726885564,1
mhr,en,Agriculture and vegetation,0.005760897290114392,4
br,cv,The house,0.006052643611276541,17
sl,ta,Animals,0.006083203001077603,11
sl,sah,Possession,0.006487572785462872,3
myv,os,The house,0.006754471627697278,12
ku,cv,Clothing and grooming,0.006812597394769608,9
sl,cv,Cognition,0.006884942319791861,8
myv,cv,Clothing and grooming,0.007010037909790393,11
mhr,en,Possession,0.00714305620986589,1
sl,tt,Clothing and grooming,0.0071670447945159435,6
sl,cv,Sense perception,0.00731847515986898,9
br,sah,The house,0.007657645027909173,17
myv,kn,Clothing and grooming,0.007997470016156331,15
sl,en,Motion,0.008011369796925988,7
mrj,cv,Kinship,0.008568754560393604,22
sl,ga,Agriculture and vegetation,0.00857083600661066,7
mhr,cy,Possession,0.008602809938290679,1
myv,sah,The house,0.008633744202221356,15
myv,uz,Social and political relations,0.008695883133739847,14
sl,ml,Clothing and grooming,0.00874822224913294,6
sl,ja,Possession,0.00884633096559508,3
ku,sl,Time,0.009427607427415042,21
myv,os,Clothing and grooming,0.009796297179919988,10
myv,la,Miscellaneous function words,0.010331924808549078,16
mhr,cv,Speech and language,0.01099617995231971,5
mhr,uz,Social and political relations,0.011002463196840409,4
sl,ga,The house,0.011053687135052642,6
mrj,de,Kinship,0.01144875021079593,5
sl,cv,The physical world,0.011856037996859333,23
mhr,bg,Possession,0.012036195767272035,1
mhr,ku,Modern world,0.012043348302057716,3
sl,cy,Animals,0.012103656435504366,13
mhr,hy,Agriculture and vegetation,0.012854142854749794,4
mhr,os,Sense perception,0.012888486561340437,4
cv,he,Agriculture and vegetation,0.013027492901312549,18
sl,cs,The house,0.013568818154375996,7
myv,uz,The house,0.01368659696096546,10
cv,ce,The house,0.013841164492425064,11
