"l1","l2","imputed_semantic_domain","local_alignment","comparison_count","cult.dist"
"de","he","Animals",-0.0602966706345445,1,NA
"de","ar","Animals",-0.0520596285086012,1,NA
"de","ko","Agriculture and vegetation",-0.0435261891378353,1,NA
"de","ta","Clothing and grooming",-0.0420094456384621,1,NA
"de","az","Agriculture and vegetation",-0.00533753926414708,1,NA
"de","ka","Agriculture and vegetation",-0.00244875914322387,2,NA
"de","en","The house",0.0249624946316343,1,NA
"fa","de","Agriculture and vegetation",0.0277446858912498,2,NA
"de","kk","Agriculture and vegetation",0.0281906090381854,2,NA
"hr","de","Agriculture and vegetation",0.0284499660964241,2,NA
"hi","sl","Food and drink",0.0331449823955914,1,NA
"de","zh","Agriculture and vegetation",0.0357470409492022,2,NA
"hi","sl","Cognition",0.0367801914288124,3,NA
"be","de","Agriculture and vegetation",0.0401051407585111,2,NA
"ta","zh","Motion",0.0524739314535359,36,NA
"uz","ta","Motion",0.0530841173997582,4,NA
"ja","ta","Motion",0.0569653744233175,31,NA
"de","eu","Agriculture and vegetation",0.0602623325462027,1,NA
"de","es","Agriculture and vegetation",0.0606742360037245,2,NA
"sk","de","Agriculture and vegetation",0.0609840941321811,1,NA
"fi","de","Agriculture and vegetation",0.062401688164302,2,NA
"hi","sl","Emotions and values",0.0630964845203062,1,NA
"hi","sl","Motion",0.0632742149916933,1,NA
"bg","de","Animals",0.0659444999989674,2,NA
"ta","zh","Possession",0.0664754486091789,16,0.380454545454545
"uz","ja","Modern world",0.0666004596500378,21,NA
"uz","he","Speech and language",0.067135298900319,10,NA
"de","kk","Modern world",0.071208807316281,1,NA
"sv","de","Agriculture and vegetation",0.0716568956869031,3,NA
"ja","ta","Basic actions and technology",0.0727814062383107,75,0.419166666666666
"de","kk","Animals",0.0740344520480915,2,NA
"hr","de","Animals",0.0740458056763323,2,NA
"de","tr","Agriculture and vegetation",0.0750910228655496,2,NA
"ta","zh","Basic actions and technology",0.075164959663854,78,0.443333333333333
"hi","de","The house",0.0779671877547678,1,NA
"ko","ta","Motion",0.0780137968120918,24,NA
"de","ca","Agriculture and vegetation",0.0784253635015946,2,NA
"ko","zh","The house",0.0792295323784395,14,0.571818181818182
"hi","sl","Kinship",0.0802396363499617,2,NA
"pl","de","Clothing and grooming",0.0837160364653548,3,NA
"be","ja","The house",0.0847509012720701,23,0.435454545454546
"de","ka","Clothing and grooming",0.08499702973019,1,NA
"hu","de","Agriculture and vegetation",0.0855744565561733,2,NA
"ta","eu","Motion",0.0872061092029656,29,NA
"ko","ja","Possession",0.087343579480322,15,0.440681818181818
"uz","zh","Miscellaneous function words",0.0884017422911768,6,NA
"uz","ja","Spatial relations",0.0884541113560137,34,NA
"ja","ar","The house",0.0902083802972817,24,NA
"az","ja","The house",0.0906625355888098,22,NA
"de","en","Agriculture and vegetation",0.0911829810990899,2,NA
"uz","ja","Social and political relations",0.0915411505772298,15,NA
"ar","zh","The house",0.0924908941268096,22,NA
"uz","ja","Clothing and grooming",0.0925241084386493,16,NA
"uz","ko","Food and drink",0.0927379556155169,17,NA
"el","de","The house",0.0932016028386728,2,NA
"de","en","Animals",0.0941165695410762,2,NA
"ta","zh","Emotions and values",0.095407435443561,36,0.451333333333333
"hy","ta","Clothing and grooming",0.0956626402695393,15,NA
"ja","ka","Clothing and grooming",0.0960951904833586,24,NA
"ja","ka","Modern world",0.0969208352120671,25,NA
"he","zh","Agriculture and vegetation",0.0988507217965562,19,0.454545454545454
