"l1","l2","imputed_semantic_domain","local_alignment","comparison_count","cult.dist"
"fr","ka","Animals",-0.253952696558421,1,NA
"hu","ka","Animals",-0.17743384481686,1,NA
"sv","ka","Modern world",-0.167343019576217,1,NA
"hu","ka","Possession",-0.15073118299002,1,NA
"hy","hr","The house",-0.143000003747393,1,NA
"ca","ka","Miscellaneous function words",-0.140372672839724,10,NA
"fi","ka","The house",-0.138111326123467,1,NA
"uk","ka","Modern world",-0.137019994775067,1,NA
"ka","eu","Possession",-0.135310512829219,1,NA
"hy","ko","Food and drink",-0.12452611286759,1,NA
"pt","ka","The house",-0.11711369600486,1,NA
"ca","ka","Cognition",-0.107061831875316,11,NA
"fi","ka","Animals",-0.106932960536646,1,NA
"is","ka","Modern world",-0.104633412792959,1,NA
"uk","ka","Miscellaneous function words",-0.102573807310322,11,NA
"hy","lt","Food and drink",-0.0999378527907149,1,NA
"es","ka","Animals",-0.0950459057179271,1,NA
"lv","hy","Possession",-0.0927570424705141,2,0.467045454545454
"ka","he","Animals",-0.0912274443610621,1,NA
"ko","ka","The physical world",-0.0911799044875792,2,NA
"hy","eu","Food and drink",-0.0906850505245795,1,NA
"pt","ka","Animals",-0.090679733175957,1,NA
"lv","hy","The physical world",-0.0896802736217918,2,0.644999999999999
"hy","eu","The physical world",-0.0896587896839521,4,NA
"uk","ja","Miscellaneous function words",-0.088739580454738,10,NA
"en","ka","Motion",-0.0877877089970904,3,NA
"sq","ka","Basic actions and technology",-0.086057156560486,7,NA
"uk","ka","Basic actions and technology",-0.0855329227452865,9,NA
"hy","sq","Basic actions and technology",-0.085425355546983,9,0.376666666666667
"de","br","Speech and language",-0.0850782297850414,7,NA
"ka","ar","Cognition",-0.0846672120814681,12,NA
"sk","ka","Animals",-0.0846268402936567,1,NA
"en","ka","Miscellaneous function words",-0.0846101041813095,10,NA
"uk","ka","Speech and language",-0.0826600044982378,5,NA
"hy","is","Modern world",-0.0813429023010992,2,NA
"no","br","Speech and language",-0.0783372034745455,10,NA
"is","ka","Animals",-0.0780556640275462,1,NA
"en","ka","Modern world",-0.0770205395172379,1,NA
"br","ja","Animals",-0.076976542633942,4,NA
"ro","ka","The house",-0.075566943179587,1,NA
"nl","ka","Modern world",-0.075503538657034,1,NA
"fa","hy","The body",-0.0749387403521698,6,NA
"de","ka","Miscellaneous function words",-0.0746729942031739,11,NA
"it","ka","The house",-0.0743832917072167,1,NA
"nl","ka","Possession",-0.0741906835784115,1,NA
"hy","no","The house",-0.0740452821730943,2,NA
"ka","he","Speech and language",-0.0735707383627774,6,NA
"ca","ka","Speech and language",-0.0733890464699395,7,NA
"sq","ka","The house",-0.0721198024607,1,NA
"lv","ka","Animals",-0.0717765177686226,1,NA
"hy","is","Basic actions and technology",-0.0709034455374686,8,0.48
"ka","he","The physical world",-0.0684741683624915,2,NA
"lt","ka","Animals",-0.0678820745096736,1,NA
"da","br","Speech and language",-0.067467913195723,11,NA
"fi","br","Speech and language",-0.0670481234225657,10,NA
"ka","he","Cognition",-0.0664675383578621,12,NA
"hr","ka","The physical world",-0.0653072888635561,2,NA
"br","he","Speech and language",-0.0647657077421613,10,NA
"fa","br","Speech and language",-0.064060443867829,6,NA
"ko","ka","Modern world",-0.0638780947431357,1,NA
"sq","ka","Miscellaneous function words",-0.0635833202718953,15,NA
"uk","ka","Cognition",-0.0631161400959264,13,NA
"lv","ka","Possession",-0.0616892124312257,1,NA
"uk","ka","Animals",-0.0615458301025434,1,NA
"hy","lt","The physical world",-0.0604803140420885,3,0.51
"ka","he","Modern world",-0.0602596442122842,1,NA
"br","pt","Speech and language",-0.0599182117525769,10,NA
"ca","ja","Miscellaneous function words",-0.0596809361926903,9,NA
"da","ka","Miscellaneous function words",-0.0593358559770898,11,NA
"fa","ka","Speech and language",-0.05925994831425,5,NA
"uk","ka","The house",-0.0583720458833806,2,NA
"nl","ka","The physical world",-0.0582251954394663,2,NA
"lv","ka","Cognition",-0.0581922211663416,11,NA
"de","ka","Kinship",-0.0581605115548722,7,NA
"hy","sq","The house",-0.0578057599620569,2,0.770909090909091
"ca","ka","Time",-0.0576429910884009,20,NA
"lt","ka","Cognition",-0.057173885612152,10,NA
"fa","hy","Animals",-0.0571235574053748,1,NA
"hy","sk","Motion",-0.0562789108547513,3,NA
"ca","ka","Social and political relations",-0.0557932243085039,6,NA
"el","ka","Miscellaneous function words",-0.0555769954991166,11,NA
"fa","ka","The house",-0.0554859086447606,1,NA
"no","ka","Cognition",-0.055251301091722,11,NA
"pt","ka","Motion",-0.0551275530650915,3,NA
"tr","ka","The physical world",-0.0546958327235769,2,NA
"uk","ka","Time",-0.0546372324970422,31,NA
"ko","ka","Miscellaneous function words",-0.0545732572686027,10,NA
"hy","ko","The house",-0.0545514243008628,2,0.738181818181818
"de","ka","Cognition",-0.0545075284437562,11,NA
"el","ka","The house",-0.0537174937708862,1,NA
"no","ka","Miscellaneous function words",-0.0534695070245741,11,NA
"sv","br","Speech and language",-0.0525807468798074,11,NA
"sq","ka","Emotions and values",-0.0520793214784545,12,NA
"ka","eu","Quantity",-0.0519205927403823,15,NA
"hy","sq","Quantity",-0.0512240682830981,11,NA
"ca","ka","Sense perception",-0.0509146779116461,6,NA
"ro","ka","Animals",-0.0508692574107129,1,NA
"ca","ka","Basic actions and technology",-0.0506245897353323,6,NA
"lv","ka","The house",-0.0504024765772973,1,NA
"hu","ka","Miscellaneous function words",-0.0502690439989354,12,NA
"sk","br","Speech and language",-0.0500304892187004,9,NA
"hy","tr","Animals",-0.0496045890439224,3,NA
"ko","ja","Possession",-0.0484716857690755,1,0.440681818181818
"uk","ka","Kinship",-0.048280694441273,22,NA
"lt","ka","The house",-0.0482382369111538,1,NA
"fi","hy","Motion",-0.0478249223943327,4,NA
"ka","eu","Miscellaneous function words",-0.0478245805469743,12,NA
"br","he","Agriculture and vegetation",-0.0476569181075008,3,NA
"ka","he","Miscellaneous function words",-0.0475486538079123,13,NA
"en","ka","Cognition",-0.0474306290378539,11,NA
"en","ka","Possession",-0.0473929950656372,1,NA
"fi","ka","The physical world",-0.0470539254584887,2,NA
"hy","ro","Motion",-0.0469527053646613,3,NA
"hu","ka","Emotions and values",-0.0468862406646445,12,NA
"cs","br","Speech and language",-0.0466295606671507,9,NA
"sq","ka","The physical world",-0.0465214990866928,2,NA
"br","ka","Basic actions and technology",-0.0465024278705768,3,NA
"el","ka","Animals",-0.0456299877307382,1,NA
"nl","br","Speech and language",-0.045603770492934,12,NA
"ca","ka","The physical world",-0.0452456451508741,1,NA
"hy","ru","The house",-0.0449388782142351,2,0.61
"ko","ka","Cognition",-0.0446095393151673,8,NA
"tr","ka","Cognition",-0.0442777443928915,14,NA
"hy","lt","The body",-0.0435651833036574,6,NA
"ka","ar","Basic actions and technology",-0.0435358246983757,10,NA
"is","ka","Social and political relations",-0.0434060429479609,8,NA
"bg","ka","Motion",-0.0431905679926528,4,NA
"et","ka","Sense perception",-0.0431235677610982,8,NA
"fr","ka","The house",-0.0430076857716775,1,NA
"hy","ko","Modern world",-0.0428557586343553,2,NA
"de","ka","Basic actions and technology",-0.0426287328177387,5,NA
"ka","eu","Emotions and values",-0.0425834952442002,8,NA
"hy","eu","The body",-0.0423031879759992,6,NA
"fi","ka","Modern world",-0.041893057224518,1,NA
"et","ka","Social and political relations",-0.0418185260245872,8,NA
"hy","sq","Emotions and values",-0.0417890098565079,6,0.530666666666667
"ca","ka","Emotions and values",-0.0415773333900855,10,NA
"sq","ka","Quantity",-0.0407744784960174,13,NA
"es","ka","The house",-0.0403641835894032,1,NA
"fi","ka","Possession",-0.0396062118104655,2,NA
"et","ka","Miscellaneous function words",-0.039395067518718,13,NA
"uk","ka","Quantity",-0.0392482405954045,15,NA
"is","ka","Speech and language",-0.0389241525702256,6,NA
"ka","he","Social and political relations",-0.038862148291215,9,NA
"en","ka","Social and political relations",-0.0388097083233985,8,NA
"ko","ka","The house",-0.0387420378854103,1,NA
"ka","ar","Sense perception",-0.0387147594322068,8,NA
"bg","ka","The physical world",-0.0386696466463934,2,NA
"ka","he","Time",-0.0386279859420268,24,NA
"de","ka","Speech and language",-0.0385926721852476,2,NA
"ja","ka","Animals",-0.0379819646298851,1,NA
"hy","eu","Motion",-0.0378905331356363,3,NA
"hu","ka","Sense perception",-0.0370117529081058,9,NA
"uk","ka","Motion",-0.0369911158632494,4,NA
"ko","ka","Possession",-0.0367618820945345,1,NA
"hy","is","Cognition",-0.0367214541136544,8,NA
"sk","ka","The house",-0.0366325225792787,1,NA
"et","hy","The physical world",-0.0366020196507621,3,0.596666666666666
"lv","hy","Speech and language",-0.0365648715715462,2,NA
"hy","no","Motion",-0.0363973376592522,3,NA
"fi","ka","Social and political relations",-0.0361493850160275,9,NA
"no","ka","Kinship",-0.036007276196681,23,NA
"hy","en","Motion",-0.0359235645088605,4,NA
"br","ja","Modern world",-0.0358384720810459,6,NA
"br","fr","Speech and language",-0.0357764898725315,10,NA
"sq","ka","The body",-0.0355448173441635,12,NA
"is","ka","Miscellaneous function words",-0.0355046296356829,13,NA
"tr","ka","Basic actions and technology",-0.0348858962052154,9,NA
"ca","ka","Modern world",-0.0348424179820652,1,NA
"sv","ka","Miscellaneous function words",-0.0340516350487878,12,NA
"lt","ka","Quantity",-0.0337860828278001,15,NA
"hy","sq","Motion",-0.0332464320835218,5,NA
"cs","ka","Motion",-0.0332264468208693,3,NA
"ka","eu","Cognition",-0.0329828110392352,15,NA
"ka","he","Emotions and values",-0.0326865405905639,11,NA
"br","ar","Agriculture and vegetation",-0.0326243147575425,2,NA
"no","ka","Social and political relations",-0.0325874234148587,8,NA
"et","hy","Animals",-0.0325367128389338,2,NA
"da","ka","Motion",-0.0321039576884981,3,NA
"de","ka","Emotions and values",-0.0318600457211571,5,NA
"hr","ka","Social and political relations",-0.0314716064402118,10,NA
"da","ka","Cognition",-0.0313821768545763,11,NA
"hy","ko","Basic actions and technology",-0.0312107522839847,7,0.4725
"tr","ka","Kinship",-0.0305760797650433,26,NA
"ko","ka","The body",-0.0305684549489844,11,NA
"uk","ka","The body",-0.0305333543168554,13,NA
"ka","eu","The house",-0.0302921445071329,1,NA
"br","es","Speech and language",-0.0301387670212983,10,NA
"hy","pt","The body",-0.0300994006163716,6,NA
"it","ka","The physical world",-0.0300236359864538,2,NA
"en","ka","Animals",-0.0298784231462437,1,NA
"et","ka","The house",-0.0298736603934983,1,NA
"nl","ka","The house",-0.0297933454797166,1,NA
"is","ka","Cognition",-0.029401998452711,10,NA
"ka","ar","Animals",-0.0293025668365477,1,NA
"hu","ka","Social and political relations",-0.0290840783747083,8,NA
"is","br","Agriculture and vegetation",-0.0287741324144493,1,NA
"bg","ka","Animals",-0.0286137894304634,1,NA
"hy","el","The physical world",-0.0285301175143026,3,0.4
"is","ka","Basic actions and technology",-0.0282341914082852,8,NA
"fa","ka","The body",-0.0281729665589284,19,NA
"ka","ar","Possession",-0.0281027855489254,1,NA
"hy","sq","Possession",-0.0280682524990195,4,0.341590909090909
"ca","ka","Spatial relations",-0.0277548198590231,8,NA
"hr","ka","Cognition",-0.0276681997877353,14,NA
"cs","ka","Cognition",-0.0276156047145272,12,NA
"sq","ka","Animals",-0.0275753450858709,1,NA
"hy","tr","The physical world",-0.0272335610691748,3,0.381666666666666
"hy","ko","Quantity",-0.0271188323686675,8,NA
"lt","ka","Kinship",-0.0266964694635591,26,NA
"de","br","Miscellaneous function words",-0.0266789939749365,8,NA
"hr","ka","The body",-0.0265376849909935,14,NA
"hr","ka","Motion",-0.0265333994948061,3,NA
"is","ka","Sense perception",-0.0261972981280985,7,NA
"uk","ka","Emotions and values",-0.0260373022410736,10,NA
"hu","ka","The physical world",-0.0259874415213333,2,NA
"nl","ka","Social and political relations",-0.025842490060072,9,NA
"hy","sq","Social and political relations",-0.0258349358804298,7,0.631923076923077
"ca","ka","Kinship",-0.0256503214481715,24,NA
"hy","nl","Motion",-0.0254634183337922,3,NA
"fi","ka","Speech and language",-0.0253986279207437,6,NA
"sv","ka","The body",-0.0252793683652884,15,NA
"lt","ko","Agriculture and vegetation",-0.025151480746454,11,0.454545454545454
"nl","br","Agriculture and vegetation",-0.0249673312533814,3,NA
"is","ka","The physical world",-0.0248712438340827,2,NA
"ko","ka","Emotions and values",-0.0248030078568396,8,NA
"tr","ja","Modern world",-0.024743432300692,15,NA
"hy","nl","Food and drink",-0.0245263615401141,1,NA
"ca","ja","Modern world",-0.0244162808378268,12,NA
"sq","ka","Social and political relations",-0.0241357862228782,10,NA
"it","ka","Kinship",-0.0240410925769711,24,NA
"ko","ka","Basic actions and technology",-0.0237326236537986,5,NA
"el","ka","Motion",-0.0237061317640124,2,NA
"ru","br","Speech and language",-0.0236676643559209,10,NA
"en","ka","The house",-0.0232132476088974,1,NA
"sq","ka","Time",-0.0230922836802001,28,NA
"ca","ka","Quantity",-0.0228778729912414,14,NA
"is","ka","Possession",-0.0228107819097188,2,NA
"hy","eu","Animals",-0.0227961290136105,3,NA
"hy","he","The house",-0.0222656672664548,2,0.386363636363637
"cs","ka","Possession",-0.0222563186796016,1,NA
"lt","ka","Social and political relations",-0.0221766571406112,9,NA
"lv","ka","Basic actions and technology",-0.0220461010227494,5,NA
"ca","ka","The body",-0.0217452316528581,12,NA
