"l1","l2","imputed_semantic_domain","local_alignment","comparison_count","cult.dist"
"av","lbe","Modern world",-0.263734592233859,1,NA
"mhr","ta","The house",-0.255737506081553,1,0.453636363636364
"no","ab","Agriculture and vegetation",-0.233309796533191,1,NA
"se","he","Food and drink",-0.230611892776864,2,NA
"ab","zh","Agriculture and vegetation",-0.20574597222389,1,0.636363636363635
"kn","lbe","Clothing and grooming",-0.200610724158649,1,NA
"mdf","sah","Clothing and grooming",-0.189932370063243,1,NA
"fr","lbe","Clothing and grooming",-0.173616379701407,1,NA
"mdf","ce","Clothing and grooming",-0.173448534530105,1,NA
"ku","os","Clothing and grooming",-0.172964241508118,1,NA
"mhr","az","The house",-0.167788512015307,1,NA
"mdf","ba","Clothing and grooming",-0.166862658586859,1,NA
"en","lbe","Clothing and grooming",-0.160374039211612,1,NA
"es","lbe","Clothing and grooming",-0.159113192892229,1,NA
"mhr","ml","Motion",-0.159101477971464,1,NA
"mhr","da","The house",-0.158595521258595,1,NA
"it","lbe","The house",-0.158326179441241,3,NA
"hy","ab","The house",-0.157919210153682,1,0.616363636363636
"mrj","lbe","Possession",-0.157345843851316,2,NA
"hy","lbe","Clothing and grooming",-0.150029503206328,1,NA
"mdf","ga","Modern world",-0.148859102855328,2,NA
"mhr","sk","Possession",-0.147111583554104,1,NA
"sv","lbe","Clothing and grooming",-0.143512468509931,1,NA
"mhr","uk","Possession",-0.139566486560565,1,0.368181818181818
"mdf","lt","Clothing and grooming",-0.138334302507022,2,NA
"be","ab","The house",-0.138233711447355,1,0.566363636363636
"de","sah","Agriculture and vegetation",-0.138212990390185,1,NA
"myv","cv","Motion",-0.135764974712835,2,NA
"mdf","tr","Modern world",-0.134889449790664,2,NA
"mhr","cs","Possession",-0.130914228962919,1,0.480227272727272
"mhr","it","The house",-0.129964703304515,1,NA
"mhr","ku","Possession",-0.127916885166917,1,NA
"cs","lbe","Clothing and grooming",-0.127720438366126,1,NA
"is","lbe","Clothing and grooming",-0.12424041942153,1,NA
"mhr","ru","Possession",-0.124087075598651,1,0.58
"mdf","ml","Clothing and grooming",-0.123396328241752,2,NA
"da","lbe","Clothing and grooming",-0.122553653819982,1,NA
"mdf","ro","Clothing and grooming",-0.119900960863844,2,NA
"mhr","de","Emotions and values",-0.119168237796637,1,NA
"mhr","ro","Possession",-0.116782584874987,1,NA
"no","lbe","Clothing and grooming",-0.116567272363854,1,NA
"udm","xal","Clothing and grooming",-0.1154438002989,3,NA
"mdf","ca","Clothing and grooming",-0.115435966429446,1,NA
"uz","xal","The house",-0.114465867757232,3,NA
"kv","os","The house",-0.11280954472928,1,NA
"mdf","kk","Modern world",-0.110346089386361,2,NA
"en","ab","The house",-0.109889294030193,1,0.775454545454546
"mdf","ar","Clothing and grooming",-0.109633449848803,2,NA
"mdf","kn","Modern world",-0.106966075635742,2,NA
"hu","ab","The house",-0.106525004022142,1,0.585454545454545
"mhr","kk","Miscellaneous function words",-0.105507984731493,5,NA
"os","ko","Clothing and grooming",-0.104918421975928,4,NA
"ta","av","Clothing and grooming",-0.103827409780383,2,NA
"lbe","zh","Cognition",-0.102277616668845,6,NA
"mhr","en","The house",-0.102234840477516,1,0.571818181818181
"mdf","cs","Clothing and grooming",-0.101213444205788,2,NA
"sah","lbe","The house",-0.101013706095526,2,NA
"de","cv","Social and political relations",-0.100742722862065,1,NA
"mdf","cv","Modern world",-0.100038232275971,2,NA
"vep","lbe","Emotions and values",-0.0991925133772641,1,NA
"it","lbe","Clothing and grooming",-0.0991551328656942,1,NA
"kk","lbe","Clothing and grooming",-0.0989212418981955,1,NA
"uk","lbe","Clothing and grooming",-0.0982522024880543,1,NA
"de","ce","Agriculture and vegetation",-0.097844683957262,1,NA
"mdf","lez","Clothing and grooming",-0.0975031239580033,1,NA
"sah","av","Agriculture and vegetation",-0.0974462646245565,4,NA
"no","lbe","Possession",-0.0963548063250724,1,NA
"ku","lez","The house",-0.0963437027169518,3,NA
"os","ce","Clothing and grooming",-0.0948974949468059,4,NA
"xal","lez","Agriculture and vegetation",-0.0947085881878636,2,NA
"kn","ab","The house",-0.0946402480444416,1,NA
"mdf","es","Modern world",-0.0937110902536381,2,NA
"uz","av","Motion",-0.0936574795709171,1,NA
"ca","xal","Agriculture and vegetation",-0.0932720906627428,3,NA
"nl","lbe","Clothing and grooming",-0.0925647123445799,1,NA
"mdf","fr","Modern world",-0.0923472483796037,2,NA
"xal","ko","Motion",-0.0921519261521523,3,NA
"lbe","ar","Clothing and grooming",-0.0915800447624558,1,NA
"mhr","ta","Possession",-0.0914504840771912,1,0.526590909090909
"lbe","zh","The house",-0.0907984399867408,3,NA
"mdf","sq","Clothing and grooming",-0.0906515357990097,2,NA
"mdf","ca","Modern world",-0.0897393058118991,2,NA
"mdf","ru","Clothing and grooming",-0.0896872328234242,2,NA
"ga","lbe","Emotions and values",-0.0891172706272945,2,NA
"kn","ab","Emotions and values",-0.0890623485223111,2,NA
"it","xal","Agriculture and vegetation",-0.0881348522688288,2,NA
"mdf","lv","Clothing and grooming",-0.0880924798208406,2,NA
"hu","lbe","Clothing and grooming",-0.0875220666429541,1,NA
"sq","de","Animals",-0.0873223303273599,1,NA
"mdf","ga","Clothing and grooming",-0.0870643359273887,2,NA
"xal","ja","Food and drink",-0.0868851284142693,7,NA
"mdf","is","Modern world",-0.0866192435481859,2,NA
"xal","av","Clothing and grooming",-0.0864835397921829,2,NA
"mdf","is","Clothing and grooming",-0.0863623832867009,2,NA
"ga","lbe","The house",-0.0861464084168882,3,NA
"mhr","de","Time",-0.085507961084783,1,NA
"ja","lbe","The house",-0.0847739645692136,3,NA
"ca","lbe","Possession",-0.0844609085180009,1,NA
"uz","cv","Motion",-0.0838684507375423,1,NA
"pt","xal","Agriculture and vegetation",-0.0833850293118162,3,NA
"mdf","tr","Clothing and grooming",-0.0823253927556381,2,NA
"kn","ab","Spatial relations",-0.0809201342005448,13,NA
"mhr","fr","Miscellaneous function words",-0.0809137789883979,3,NA
"mhr","sv","The house",-0.0795906116548837,1,NA
"mhr","bg","Possession",-0.0794662898130813,1,0.394772727272727
"mhr","de","Miscellaneous function words",-0.0794341922486512,4,NA
"pt","lbe","Possession",-0.0793259954526309,1,NA
"mdf","en","Clothing and grooming",-0.0790419947813859,2,NA
"mdf","mn","Modern world",-0.077653647346844,2,NA
"ru","lbe","The house",-0.0773008813071715,3,NA
"mdf","ba","Modern world",-0.0767991750411226,2,NA
"udm","cv","Motion",-0.0763815850270969,8,NA
"fa","xal","The house",-0.0758706285479999,3,NA
"mdf","ta","Clothing and grooming",-0.0755598675107328,3,NA
"mdf","da","Clothing and grooming",-0.074505383335209,2,NA
"bn","ab","Speech and language",-0.0732530279537976,3,NA
"ab","ce","Time",-0.0729392369538166,11,NA
"tt","lbe","Possession",-0.0727280323929525,1,NA
"de","cv","Food and drink",-0.0722390196357559,4,NA
"mdf","ta","Modern world",-0.0721945920600346,2,NA
"ja","ab","Motion",-0.0696955299437799,5,NA
"mhr","pl","The house",-0.0695542873572744,1,NA
"kv","xal","Motion",-0.0694799035681158,3,NA
"av","zh","The house",-0.0689417746140497,4,NA
"xal","ja","The body",-0.0688189317141371,19,NA
"mhr","fa","The house",-0.0684324699949645,1,NA
"kk","ab","The house",-0.0679137850216312,1,0.772727272727272
"mdf","ps","Clothing and grooming",-0.0677101201224496,2,NA
"pt","lbe","The house",-0.0673153072700528,4,NA
"ko","lbe","Cognition",-0.066728678383472,4,NA
"ku","xal","Clothing and grooming",-0.0665627729674323,3,NA
"mrj","cv","Motion",-0.0664068881730655,8,NA
"es","xal","Food and drink",-0.0663511334382126,8,NA
"cv","av","Modern world",-0.0662268243002327,6,NA
"mdf","ku","Modern world",-0.066085441787575,2,NA
"ku","xal","Modern world",-0.0651243269805533,6,NA
"hr","lbe","Clothing and grooming",-0.0647123167628178,2,NA
"ja","ab","Sense perception",-0.0645222901308629,2,NA
"ja","lbe","Food and drink",-0.0644467872800038,3,NA
"kn","lbe","Motion",-0.0643526902105923,4,NA
"ga","lbe","Food and drink",-0.0639302723196111,3,NA
"it","lbe","Possession",-0.0638515791429144,1,NA
"kn","ab","The body",-0.0638118486218774,11,NA
"ml","av","Clothing and grooming",-0.0636072690203662,3,NA
"fi","mhr","Agriculture and vegetation",-0.0635803319916864,4,NA
"lbe","zh","Emotions and values",-0.0624225609284714,2,NA
"mrj","lbe","Clothing and grooming",-0.0623133549587496,1,NA
"mhr","hu","Possession",-0.0622870015448488,1,0.434318181818182
"be","lbe","Clothing and grooming",-0.062248957075402,1,NA
"de","la","Agriculture and vegetation",-0.0617607702922433,1,NA
"mhr","sq","Possession",-0.0617432345023221,1,0.514090909090909
"mhr","eu","The house",-0.0614736309183863,1,NA
"mdf","fa","Clothing and grooming",-0.0614635771936014,2,NA
"fi","mdf","Clothing and grooming",-0.0608666973115771,2,NA
"mhr","de","Spatial relations",-0.060587551628452,3,NA
"fr","lbe","The house",-0.0605596972646667,3,NA
"ja","ab","Spatial relations",-0.0604823702832636,13,NA
"de","he","Animals",-0.0602966706345445,1,NA
"mrj","lbe","Spatial relations",-0.0601556218510691,8,NA
"mhr","br","Miscellaneous function words",-0.060150661010929,2,NA
"lbe","he","Clothing and grooming",-0.0600349049905038,1,NA
"myv","ko","The house",-0.0599519842309751,4,0.454545454545454
"mhr","en","Miscellaneous function words",-0.05939837815135,4,NA
"ja","lbe","Emotions and values",-0.0593084872771747,2,NA
"mdf","ko","Clothing and grooming",-0.0588889406628538,1,NA
"mhr","zh","Miscellaneous function words",-0.0580685858797557,4,NA
"mhr","no","Motion",-0.0577149853975345,1,NA
"mdf","el","Modern world",-0.0575920805563032,2,NA
"ja","lbe","Speech and language",-0.0570438627747455,7,NA
"en","lbe","Possession",-0.0568259360701161,1,NA
"mdf","hy","Modern world",-0.056812800515771,2,NA
"mhr","el","Miscellaneous function words",-0.0567457963832509,4,NA
"lbe","zh","Modern world",-0.0565306930576151,6,NA
"mdf","tt","Modern world",-0.056456614078696,2,NA
"et","ab","The house",-0.0564196967897527,1,0.470909090909091
"pt","ab","The house",-0.056159723504765,1,NA
"kn","ab","Basic actions and technology",-0.056082600414585,8,NA
"mdf","ml","Modern world",-0.0556012021148088,2,NA
"hy","xal","Agriculture and vegetation",-0.0554865316659856,3,0.636363636363635
"mhr","hr","Possession",-0.055424719499837,1,NA
"pt","xal","Food and drink",-0.0549097328305569,8,NA
"tt","xal","Agriculture and vegetation",-0.0547552889883484,3,0.727272727272728
"cs","xal","The house",-0.0546261706545848,4,0.782727272727272
"mdf","hu","Clothing and grooming",-0.0543874827625163,2,NA
"mrj","bn","The house",-0.0540455205591444,3,NA
"vep","cv","Emotions and values",-0.0539310018732606,2,0.503333333333333
"uz","lbe","The body",-0.0539190108412522,11,NA
"cv","av","Agriculture and vegetation",-0.0537925596666773,1,NA
"kn","lbe","Possession",-0.0535620273529482,1,NA
"mdf","ko","Modern world",-0.0531979094864037,2,NA
"br","lez","The house",-0.0531511071361876,5,NA
"mdf","uz","Modern world",-0.0530174543176967,2,NA
"xal","ce","Clothing and grooming",-0.0527836198005259,6,NA
"mhr","hy","The house",-0.0526847091767863,1,0.628181818181818
"sq","ab","The house",-0.05258842979384,1,0.707272727272727
"tr","xal","Agriculture and vegetation",-0.0523291250691422,4,0.636363636363635
"mhr","no","The house",-0.0522398748376514,1,NA
"ko","lez","The house",-0.052226228154117,3,NA
"bg","xal","Agriculture and vegetation",-0.0521437987082852,3,0.636363636363635
"sk","lbe","Cognition",-0.0521196021922925,5,NA
"mdf","sq","Modern world",-0.052100655365137,4,NA
"ja","lbe","Clothing and grooming",-0.0520934458042529,1,NA
"de","ar","Animals",-0.0520596285086012,1,NA
"ja","ab","Possession",-0.0518964015358551,3,0.59659090909091
"mhr","eu","Miscellaneous function words",-0.0516450483785432,4,NA
"xal","ar","Social and political relations",-0.0515513378031497,11,NA
"sq","lbe","Cognition",-0.051547566573935,7,NA
"fa","lbe","Clothing and grooming",-0.0514951724100706,1,NA
"cv","xal","The house",-0.0511747575145772,1,0.723636363636363
"lv","lbe","Food and drink",-0.0511452201671727,3,NA
"os","is","Clothing and grooming",-0.0509945019322174,5,NA
"ps","ab","The house",-0.0509523705385854,1,NA
"hi","lbe","Clothing and grooming",-0.0507574537411379,1,NA
"os","da","Clothing and grooming",-0.0506423238803985,5,NA
"xal","ka","Agriculture and vegetation",-0.0497532568774356,3,NA
"ca","lbe","Clothing and grooming",-0.0497488525873995,1,NA
"mdf","la","Clothing and grooming",-0.049539933939477,2,NA
"ja","lbe","Cognition",-0.0490335357980968,5,NA
"xal","ta","Food and drink",-0.0489826493450585,6,NA
"ga","lbe","Cognition",-0.0482284957497204,7,NA
"mhr","fr","Possession",-0.0482026771962161,1,0.455
"ro","xal","Food and drink",-0.0481646277406353,7,NA
"ko","lbe","The body",-0.0481119521120118,14,NA
"tt","xal","Food and drink",-0.0479677757438192,7,NA
"mdf","sah","Modern world",-0.0477767766700175,2,NA
"sq","ab","Animals",-0.0473520064555201,3,NA
"mdf","sk","Modern world",-0.0470763532107384,4,NA
"mdf","da","Modern world",-0.0468710083736615,2,NA
"cy","lbe","Possession",-0.0467640290931139,1,NA
"lv","os","Clothing and grooming",-0.0465918534763654,5,NA
"bn","ab","The house",-0.0465912097957042,1,0.822727272727273
"mn","ab","The house",-0.0463428888197263,2,NA
"en","ab","Emotions and values",-0.0462822328303835,2,0.711333333333333
"kn","lbe","Cognition",-0.046140788463131,6,NA
"sk","ab","Speech and language",-0.0461294624938977,3,NA
"xal","ka","Clothing and grooming",-0.0458722571970938,8,NA
"mdf","it","Modern world",-0.0455514377776442,2,NA
"myv","he","The house",-0.0455451761844569,7,0.63
"xal","ta","Possession",-0.0453085520444595,3,0.705227272727272
"br","lbe","Clothing and grooming",-0.0451847369920838,1,NA
"os","br","Clothing and grooming",-0.0450245979941625,5,NA
"da","ab","Agriculture and vegetation",-0.0449964213920447,1,NA
"ab","zh","The physical world",-0.0449853748364245,11,0.601666666666666
