"","mantelr","pval1","pval2","pval3","lower","upper","domain","comparison","p.adjusted"
"lingVCult",0.0349115410060972,0.38955,0.61046,0.80866,-0.0289974715832054,0.113523741817744,"Possession","lingVCult",1
"lingVHist",0.364462746994757,0.00252,0.99749,0.0026,0.162144309482623,0.498023192754031,"Possession","lingVHist",0.0546
"lingVGeo",-0.110415768275223,0.80404,0.19597,0.3889,-0.196611231201671,0.00126837644180492,"Possession","lingVGeo",1
"lingVCult1",0.188608736693776,0.10225,0.89776,0.1855,0.0227398541092508,0.278535440575003,"The house","lingVCult",1
"lingVHist1",0.331058662849922,0.00548,0.99453,0.00637,0.146507966799325,0.455053035907654,"The house","lingVHist",0.13377
"lingVGeo1",-0.0582435928026761,0.65972,0.34029,0.65468,-0.153005032942732,0.0220400884292269,"The house","lingVGeo",1
"lingVCult2",0.10558598824977,0.22429,0.77572,0.44909,0.0264417762380081,0.198172892864062,"Agriculture and vegetation","lingVCult",1
"lingVHist2",0.399614368302481,0.00058,0.99943,0.00062,0.209249013682277,0.528375965712107,"Agriculture and vegetation","lingVHist",0.01302
"lingVGeo2",-0.0810765144411439,0.73375,0.26626,0.52198,-0.156668417570643,-0.00325421517814011,"Agriculture and vegetation","lingVGeo",1
"lingVCult3",0.083660707083512,0.27916,0.72085,0.57886,-0.0305027742741852,0.149335516685287,"Miscellaneous function words","lingVCult",1
"lingVHist3",0.337136690959929,0.00456,0.99545,0.00522,0.150901505631033,0.501939551628118,"Miscellaneous function words","lingVHist",0.10962
"lingVGeo3",-0.121080501879904,0.82187,0.17814,0.35707,-0.206735794829097,-0.0272225188101668,"Miscellaneous function words","lingVGeo",1
"lingVCult4",-0.00404413144526508,0.501,0.49901,0.97781,-0.076883471739348,0.0566417469884051,"Motion","lingVCult",1
"lingVHist4",0.369200877993428,0.00172,0.99829,0.00175,0.168143096627567,0.478047391778543,"Motion","lingVHist",0.03675
"lingVGeo4",-0.13001538045727,0.8575,0.14251,0.28774,-0.213131668304299,-0.0212282588736268,"Motion","lingVGeo",1
"lingVCult5",0.130304205051138,0.17026,0.82975,0.34198,0.05578640895956,0.207702193363409,"Speech and language","lingVCult",1
"lingVHist5",0.374584998912927,0.00139,0.99862,0.00144,0.172667458055077,0.49088548141929,"Speech and language","lingVHist",0.03024
"lingVGeo5",-0.119543254374085,0.83383,0.16618,0.32948,-0.188390881309488,-0.0453177852285362,"Speech and language","lingVGeo",1
"lingVCult6",0.194067130875014,0.08364,0.91637,0.14639,0.0285714430047078,0.28391745675198,"Modern world","lingVCult",1
"lingVHist6",0.334815038206929,0.00313,0.99688,0.00359,0.116701664666871,0.465029606857858,"Modern world","lingVHist",0.07539
"lingVGeo6",-0.0765546750642045,0.72866,0.27135,0.52594,-0.137733738211491,0.0148241994244047,"Modern world","lingVGeo",1
"lingVCult7",0.0818240411128955,0.26678,0.73323,0.55593,0.00510459425826088,0.152925570479303,"Cognition","lingVCult",1
"lingVHist7",0.388180327905813,0.00104,0.99897,0.00105,0.200572177349093,0.543699788970941,"Cognition","lingVHist",0.02205
"lingVGeo7",-0.167405255191846,0.92775,0.07226,0.16099,-0.229916190568474,-0.0835985756280459,"Cognition","lingVGeo",1
"lingVCult8",0.206611502734553,0.08716,0.91285,0.15232,0.0493708316932225,0.291758455834957,"Clothing and grooming","lingVCult",1
"lingVHist8",0.287325178524779,0.01224,0.98777,0.01774,0.0887577217520899,0.431810153630002,"Clothing and grooming","lingVHist",0.37254
"lingVGeo8",-0.063156084721196,0.67659,0.32342,0.62473,-0.163443667746842,0.0313611669795131,"Clothing and grooming","lingVGeo",1
"lingVCult9",0.0799641793383913,0.28403,0.71598,0.57982,-0.0333059006108106,0.161724355772912,"Sense perception","lingVCult",1
"lingVHist9",0.398518773318173,0.00086,0.99915,0.00087,0.207049990710618,0.520856695872292,"Sense perception","lingVHist",0.01827
"lingVGeo9",-0.178240010823524,0.92615,0.07386,0.15587,-0.255553895974071,-0.0356813769652734,"Sense perception","lingVGeo",1
"lingVCult10",0.0513326731048007,0.35032,0.64969,0.75661,-0.0413627789339866,0.133248971268592,"Time","lingVCult",1
"lingVHist10",0.236788179400244,0.04175,0.95826,0.06917,0.0373583695631431,0.412117807831003,"Time","lingVHist",1
"lingVGeo10",-0.103074817241065,0.76649,0.23352,0.45599,-0.186706505213171,0.00752842481951415,"Time","lingVGeo",1
"lingVCult11",0.137391536395173,0.16375,0.83626,0.32656,0.00519789685114634,0.235389694288513,"Spatial relations","lingVCult",1
"lingVHist11",0.401976578172081,0.00107,0.99894,0.0011,0.172238727111437,0.542446901789272,"Spatial relations","lingVHist",0.0231
"lingVGeo11",-0.106502376771905,0.79898,0.20103,0.39744,-0.18908626036655,-0.0289294427170495,"Spatial relations","lingVGeo",1
"lingVCult12",-0.00678586956076743,0.49692,0.50309,0.96185,-0.0664946476785112,0.0719646772319383,"Emotions and values","lingVCult",1
"lingVHist12",0.370060352445306,0.0016,0.99841,0.00164,0.144546625865635,0.524957052878032,"Emotions and values","lingVHist",0.03444
"lingVGeo12",-0.0750176262373502,0.71897,0.28104,0.54181,-0.165493480674362,0.0112311804521308,"Emotions and values","lingVGeo",1
"lingVCult13",0.138056861683782,0.13566,0.86435,0.2627,0.00987132517049089,0.229154979207212,"Social and political relations","lingVCult",1
