"","lingDomain","cultDomainDP","convergenceWarnings","numCultVars","raw.r","lmeModel.CultSimilarity.Beta","lmeModel.CultSimilarity.logLikelihoodDifference","lmeModel.CultSimilarity.ChiSquared","lmeModel.CultSimilarity.p","lmeModel.CultSimilarity.p.adjusted"
"2","Possession","Subsistence","boundary (singular) fit: see ?isSingular;",11,-0.122453801289358,0.159147719855855,3.9,7.89944876825268,0.00494498646459877,0.830757726052593
"3","Possession","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.0832089065299015,0.0374349453375313,0.3,0.601613388595183,0.437963106532264,1
"4","Possession","Settlement","",2,-0.433872693307767,0.256049120593314,4.5,9.03511175621679,0.00264842863321702,0.444936010380459
"5","Possession","Politics","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00293067 (tol = 0.002, component 1)",12,-0.204274695198239,0.117363145772901,1.6,3.18699033295661,0.0742265526104427,1
"6","Possession","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.123011067805639,0.0262455735760325,0.081,0.162283848873699,0.687062478223395,1
"7","Possession","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,0.0164311382737242,-0.0437669359417516,0.39,0.775287850508676,0.378586168105389,1
"8","Possession","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.327286246324676,0.12772522442808,2.6,5.17424511037257,0.0229241301557383,1
"9","Possession","Housing","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00782063 (tol = 0.002, component 1)",10,0.0438762734952324,-0.000300920687026323,0.004,0.00793972698329526,0.928998348018076,1
"10","The house","Subsistence","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00521296 (tol = 0.002, component 1)",11,-0.193756164352787,0.187982208204942,4.4,8.72306064311351,0.00314210119017083,0.527872999948699
"11","The house","Marriage and Kinship",";unable to evaluate scaled gradient;;Model failed to converge: degenerate  Hessian with 1 negative eigenvalues",24,-0.116589769879438,0.0218395198771111,0.26,0.513920478205364,0.473446618341864,1
"12","The house","Settlement","",2,-0.344852834507457,0.0797071634950506,0.77,1.53847975480869,0.214844232516533,1
"13","The house","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.323432541659814,0.18801037545749,4.3,8.52468123924018,0.00350362110659506,0.58860834590797
"14","The house","Ritual","boundary (singular) fit: see ?isSingular;",7,-0.16920527713597,0.107807144093245,1.4,2.73485676165762,0.0981803040147136,1
"15","The house","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.034960333549193,-0.00472524485611017,0.0039,0.00776489556460547,0.929782377601057,1
"16","The house","Property","",4,-0.130100007164211,-0.112561497276446,0.97,1.93237787604073,0.164498527935044,1
"17","The house","Housing","boundary (singular) fit: see ?isSingular;",10,-0.0957419529117846,0.0881514255187823,1.2,2.40463723013363,0.120976165757196,1
"18","Agriculture and vegetation","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.13182229096076,0.113698751805079,2.9,5.76344613749825,0.0163629482434762,1
"19","Agriculture and vegetation","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.0829716460626432,-0.0096298045891821,0.017,0.0346767822233005,0.852274569607987,1
"20","Agriculture and vegetation","Settlement","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",2,-0.363271341536206,0.126278774490899,3.9,7.73880850727596,0.00540464507347421,0.907980372343667
"21","Agriculture and vegetation","Politics","boundary (singular) fit: see ?isSingular;",12,-0.296297734656244,0.126185881441882,4.3,8.61256139397176,0.00333852476663063,0.560872160793946
"22","Agriculture and vegetation","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.151404920429852,0.0587366276141734,0.62,1.24388111029555,0.264724378168436,1
"23","Agriculture and vegetation","Labour","boundary (singular) fit: see ?isSingular;",22,0.0324734850406902,-0.0504969412728755,0.88,1.75108964006074,0.185739808059633,1
