"meaning","language","word","lingpy.cognate","expert.cognate","word.count","corpora.size","corpora.type","corpus","states","taxa","word.type","glottocode","source.ids","mean.roc","sd.roc"
"B","Albanian","vëlla","FP","albanian",3027,16700000,"written","Albanian NC",9,"Albanian_Top","kinterm","alba1267","IE12(155);IE29(262);IE138(17,64)",1.26705793349218,0.00462901893746714
"B","Albanian","vëlla","FP","albanian",770,16700000,"spoken","Albanian NC",9,"Albanian_Top","kinterm","alba1267","IE12(155);IE29(262);IE138(17,64)",1.26705793349218,0.00462901893746714
"B","Czech","bratr","AI","i2",101975,4175089440,"web","Czech Web 2012 (czTenTen12 v8)",9,"Czech","kinterm","czec1258","IE146(527);IE143(78);IE288(105)",1.26705793349218,0.00462901893746714
"B","Czech","bratr","AI","i2",16393,1700000,"written","UCNK:SYN2015 (written) ORAL2013 (spoken)",9,"Czech","kinterm","czec1258","IE146(527);IE143(78);IE288(105)",1.26705793349218,0.00462901893746714
"B","Czech","bratr","AI","i2",64,1700000,"spoken","UCNK:SYN2015 (written) ORAL2013 (spoken)",9,"Czech","kinterm","czec1258","IE146(527);IE143(78);IE288(105)",1.26705793349218,0.00462901893746714
"B","Marathi","bʱaːu","FZ","indian",NA,NA,NA,NA,9,"Marathi","kinterm","mara1378",NA,1.26705793349218,0.00462901893746714
"B","Ossetic","ævsymær","HV","misc",NA,NA,NA,NA,9,"Iron_Ossetic","kinterm","osse1245","IE211(167)",1.26705793349218,0.00462901893746714
"B","Hindi","bʱaːiː","FZ","indian",NA,NA,NA,NA,9,"Hindi","kinterm","hind1269",NA,1.26705793349218,0.00462901893746714
"B","Russian","брат","AI","i2",460715,14553856113,"web","Russian Web 2011 (ruTenTen11)",9,"Russian","kinterm","russ1263",NA,1.26705793349218,0.00462901893746714
"B","Russian","брат","AI","i2",1783378,14553856113,"web","Russian Web 2011 (ruTenTen11)",9,"Russian","kinterm","russ1263",NA,1.26705793349218,0.00462901893746714
"B","Russian","брат","AI","i2",280.34,8200000,"spoken","Russian NC via Leeds",9,"Russian","kinterm","russ1263",NA,1.26705793349218,0.00462901893746714
"B","Romanian","frate","DT","italian",2554,4.1e+07,"written","ROMBAC",9,"Romanian_List","kinterm","roma1327","IE12(161)",1.26705793349218,0.00462901893746714
"B","Nepali","bhai","FZ","indian",NA,NA,NA,NA,9,"Nepali_List","kinterm","nepa1254","DR7(103);IE293(472)",1.26705793349218,0.00462901893746714
"B","Romanian","frate","DT","italian",10995,44729032,"web","Romanian Web (roWaC)",9,"Romanian_List","kinterm","roma1327","IE12(161)",1.26705793349218,0.00462901893746714
"B","Romanian","frate","DT","italian",2203,44729032,"web","Romanian Web (roWaC)",9,"Romanian_List","kinterm","roma1327","IE12(161)",1.26705793349218,0.00462901893746714
"B","Icelandic","bróðir","DJ","i1",250,6.5e+07,"written","textasafn",9,"Icelandic_ST","kinterm","icel1247","IE89(91)",1.26705793349218,0.00462901893746714
"B","Icelandic","bróðir","DJ","i1",55,6.5e+07,"spoken","textasafn",9,"Icelandic_ST","kinterm","icel1247","IE89(91)",1.26705793349218,0.00462901893746714
"B","Frisian","broer","AA","i1",NA,NA,NA,NA,9,"Frisian","kinterm","fris1239","IE305;IE307;IE348",1.26705793349218,0.00462901893746714
"B","Norwegian","bror","AA","i1",140706,1698481187,"web","Norwegian Web 2015 (noTenTen15) Bokmal and Nynorsk",9,"Riksmal","kinterm","norw1259","IE89(95)",1.26705793349218,0.00462901893746714
"B","Norwegian","bror","AA","i1",47304,1698481187,"web","Norwegian Web 2015 (noTenTen15) Bokmal and Nynorsk",9,"Riksmal","kinterm","norw1259","IE89(95)",1.26705793349218,0.00462901893746714
"B","Assamese","bhāi","FZ","indian",NA,NA,NA,NA,9,"Assamese","kinterm","assa1263","DR7(103);IE224(71);IE292",1.26705793349218,0.00462901893746714
"B","French","frère","CN","italian",1330024,9889689889,"web","French Web 2012 (frTenTen12)",9,"French","kinterm","stan1290","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","French","frère","CN","italian",816281,9889689889,"web","French Web 2012 (frTenTen12)",9,"French","kinterm","stan1290","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","French","frère","CN","italian",142.36,1.5e+07,"written","lexique corpus",9,"French","kinterm","stan1290","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","Dutch","broer","AA","i1",84647,2576596803,"web","Dutch Web 2014 (nlTenTen14)",9,"Dutch_List","kinterm","dutc1256","IE73",1.26705793349218,0.00462901893746714
"B","Lithuanian","brolis","DZ","baltic",NA,NA,NA,NA,9,"Lithuanian_ST","kinterm","lith1251","IE21(79);IE287(97);IE288(107)",1.26705793349218,0.00462901893746714
"B","Breton","breur","AA","i1",NA,NA,NA,NA,9,"Breton_List","kinterm","bret1244","IE180(180);IE82(92,94);IE288(107); IE83",1.26705793349218,0.00462901893746714
"B","Swedish","bror","AA","i1",NA,1e+06,"spoken","SUC",9,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",1.26705793349218,0.00462901893746714
"B","Avestan","brātar-","AI","i2",NA,NA,NA,NA,9,"Avestan","kinterm","aves1237","IE507",1.26705793349218,0.00462901893746714
"B","Swedish","bror","AA","i1",126513,3411216955,"web","Swedish Web 2014 (svTenTen14)",9,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",1.26705793349218,0.00462901893746714
"B","Swedish","bror","AA","i1",177,1e+06,"written","SUC",9,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",1.26705793349218,0.00462901893746714
"B","Spanish","hermano","FC","iberian",1323,1e+08,"written","CoE",9,"Spanish","kinterm","stan1288","IE80(156-167)",1.26705793349218,0.00462901893746714
"B","Croatian","brat","AI","i2",44013,1.21e+09,"web","hrWaC",9,"Serbocroatian_Croatia","kinterm","sout1528","IE20(47);IE65(25);IE63(46,47);IE12(146)",1.26705793349218,0.00462901893746714
"B","Ukrainian","brat","AI","i2",NA,NA,NA,NA,9,"Ukrainian","kinterm","ukra1253","IE146(993);IE297(314);IE299)",1.26705793349218,0.00462901893746714
"B","Russian","брат","AI","i2",16813.66,8200000,"written","Russian NC via Leeds",9,"Russian","kinterm","russ1263",NA,1.26705793349218,0.00462901893746714
"B","Irish","brathir","DJ","i1",NA,NA,NA,NA,9,"Irish_A","kinterm","iris1253",NA,1.26705793349218,0.00462901893746714
"B","Belarusian","brat","AI","i2",NA,NA,NA,NA,9,"Byelorussian","kinterm","bela1254","IE146(941);IE296(9,298)",1.26705793349218,0.00462901893746714
"B","Dutch","broer","AA","i1",5425,42400000,"written","Dutch Instituut voor Nederlandse Lexicologie text corpora (written) (mysterious) Corpus Gesproken Nederlands (spoken)",9,"Dutch_List","kinterm","dutc1256","IE73",1.26705793349218,0.00462901893746714
"B","Oriya","bhai","FZ","indian",NA,NA,NA,NA,9,"Oriya","kinterm","oriy1255","DR7(146);IE224(71);IE9(109)",1.26705793349218,0.00462901893746714
"B","Serbian","brat",NA,"i2",15625,5.54e+08,"web","scWaC",9,"Serbocroatian","kinterm","sout1528","IE20(47);IE65(25);IE63(46,47);IE12(146)",1.26705793349218,0.00462901893746714
"B","Gujarati","bhāi","FZ","indian",NA,NA,NA,NA,9,"Gujarati","kinterm","guja1252","IE9(109);IE155(93);IE108(167);IE96(211);DR7(146)",1.26705793349218,0.00462901893746714
"B","Danish","bror","BN","i1",66852,2042601251,"web","Danish Web 2014 (daTenTen14)",9,"Danish","kinterm","dani1285","IE996;IE89(95)",1.26705793349218,0.00462901893746714
"B","Danish","bror","BN","i1",56875,2042601251,"web","Danish Web 2014 (daTenTen14)",9,"Danish","kinterm","dani1285","IE996;IE89(95)",1.26705793349218,0.00462901893746714
"B","Italian","fratello","DT","italian",17505,1.3e+08,"written","CORIS",9,"Italian","kinterm","ital1282","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","Bengali","bhāi","FZ","indian",NA,NA,NA,NA,9,"Bengali","kinterm","beng1280","DR7(103);IE224(71)",1.26705793349218,0.00462901893746714
"B","Italian","fratello","DT","italian",248715,2588873046,"web","Italian Web 2010 (itTenTen)",9,"Italian","kinterm","ital1282","IE80(156,167)",1.26705793349218,0.00462901893746714
